 ,Min,Max,X,Y,IntDen,RawIntDen,Slice
1,376,376,284,380,376,376,1
2,411,411,269,396,411,411,1
3,277,277,304,365,277,277,1
4,332,332,319,364,332,332,1
5,339,339,328,373,339,339,1
6,248,248,333,382,248,248,1
7,378,378,334,388,378,378,1
8,302,302,358,383,302,302,1
9,272,272,346,372,272,272,1
10,420,420,339,397,420,420,1
11,397,397,344,404,397,397,1
12,336,336,353,400,336,336,1
13,300,300,369,400,300,300,1
14,399,399,357,425,399,399,1
15,303,303,359,443,303,303,1
16,371,371,366,452,371,371,1
17,330,330,352,465,330,330,1
18,261,261,345,479,261,261,1
19,231,231,354,482,231,231,1
20,207,207,352,500,207,207,1
21,294,294,340,504,294,294,1
22,280,280,340,513,280,280,1
23,278,278,359,516,278,278,1
24,305,305,353,518,305,305,1
25,282,282,337,526,282,282,1
26,254,254,338,535,254,254,1
27,435,435,363,543,435,435,1
28,276,276,330,510,276,276,1
29,347,347,380,553,347,347,1
30,327,327,375,557,327,327,1
31,437,437,370,558,437,437,1
32,307,307,374,563,307,307,1
33,241,241,367,566,241,241,1
34,269,269,379,575,269,269,1
35,279,279,382,584,279,279,1
36,330,330,366,600,330,330,1
37,360,360,354,603,360,360,1
38,658,658,338,602,658,658,1
39,508,508,291,603,508,508,1
40,283,283,299,606,283,283,1
41,320,320,293,596,320,320,1
42,328,328,253,594,328,328,1
43,278,278,251,596,278,278,1
44,242,242,266,594,242,242,1
45,650,650,269,573,650,650,1
46,242,242,276,567,242,242,1
47,320,320,255,566,320,320,1
48,225,225,281,561,225,225,1
49,352,352,268,515,352,352,1
50,355,355,275,507,355,355,1
51,309,309,275,492,309,309,1
52,279,279,264,489,279,279,1
53,297,297,281,481,297,297,1
54,341,341,282,464,341,341,1
55,467,467,278,470,467,467,1
56,255,255,268,467,255,255,1
57,328,328,261,463,328,328,1
58,364,364,286,445,364,364,1
59,332,332,245,419,332,332,1
60,334,334,257,430,334,334,1
61,284,284,292,411,284,284,1
62,266,266,283,404,266,266,1
63,325,325,290,390,325,325,1
64,326,326,287,421,326,326,1
65,345,345,293,422,345,345,1
66,392,392,305,417,392,392,1
67,399,399,320,428,399,399,1
68,269,269,331,418,269,269,1
69,403,403,336,414,403,403,1
70,255,255,324,410,255,255,1
71,453,453,314,448,453,453,1
72,296,296,297,439,296,296,1
73,288,288,342,454,288,288,1
74,300,300,333,444,300,300,1
75,244,244,335,467,244,244,1
76,280,280,326,476,280,280,1
77,192,192,339,485,192,192,1
78,365,365,312,504,365,365,1
79,368,368,297,493,368,368,1
80,323,323,294,484,323,323,1
81,310,310,302,507,310,310,1
82,482,482,324,517,482,482,1
83,368,368,320,528,368,368,1
84,266,266,323,542,266,266,1
85,262,262,311,553,262,262,1
86,380,380,308,571,380,380,1
87,297,297,310,582,297,297,1
88,296,296,301,576,296,296,1
89,252,252,309,589,252,252,1
90,212,212,327,581,212,212,1
91,407,407,345,581,407,407,1
92,388,388,338,570,388,388,1
93,357,357,334,550,357,357,1
94,153,153,352,541,153,153,1
95,306,306,324,562,306,306,1
96,281,281,320,566,281,281,1
97,269,269,324,591,269,269,1
98,264,264,328,592,264,264,1
99,276,276,351,595,276,276,1
100,236,236,363,579,236,236,1
101,243,243,366,590,243,243,1
102,218,218,264,543,218,218,1
103,277,277,273,547,277,277,1
104,237,237,281,539,237,237,1
105,400,400,286,534,400,400,1
106,312,312,300,546,312,312,1
107,196,196,290,583,196,196,1
108,255,255,284,590,255,255,1
109,229,229,243,591,229,229,1
110,333,333,282,497,333,333,1
111,305,305,276,480,305,305,1
112,313,313,257,478,313,313,1
113,246,246,252,461,246,246,1
114,276,276,253,468,276,276,1
115,284,284,264,445,284,284,1
116,294,294,255,446,294,294,1
117,268,268,257,453,268,268,1
118,313,313,257,380,313,313,1
119,278,278,312,374,278,278,1
120,388,388,365,419,388,388,1
121,249,249,374,428,249,249,1
122,481,481,374,435,481,481,1
123,301,301,375,445,301,301,1
124,269,269,384,480,269,269,1
125,324,324,364,483,324,324,1
126,356,356,367,489,356,356,1
127,381,381,378,487,381,381,1
128,307,307,367,496,307,307,1
129,650,650,374,508,650,650,1
130,297,297,381,532,297,297,1
131,311,311,385,533,311,311,1
132,262,262,387,541,262,262,1
133,255,255,390,541,255,255,1
134,294,294,400,548,294,294,1
135,229,229,382,567,229,229,1
136,267,267,399,571,267,267,1
137,322,322,397,590,322,322,1
138,274,274,397,605,274,274,1
139,421,421,408,608,421,421,1
140,177,177,391,620,177,177,1
141,178,178,382,619,178,178,1
142,406,406,383,602,406,406,1